region_id,collider_id,area,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,contour_pixel_count,mean_discontinuity_score,max_discontinuity_score,boundary_flip_count,high_vector_count,boundary_high_vector_density,boundary_aligns_with_high_vector_density
0,25836914057,65,95.0,25.0,63,25,127,25,65,2.334107,2.373467,66,66,1.015385,True
1,25836914057,485,149.8,27.8,63,27,256,29,389,2.992696,3.0,197,197,0.506427,True
2,25836914057,485,149.8,31.8,63,31,256,33,389,2.992692,3.0,197,197,0.506427,True
3,25836914057,485,149.8,35.8,63,35,256,37,389,2.9927,3.0,197,197,0.506427,True
4,25836914057,233,101.85,39.918,63,39,146,41,169,2.942953,3.0,89,89,0.526627,True
5,25887245710,52,159.5,39.5,147,39,172,40,52,2.760092,3.0,30,30,0.576923,True
6,25836914057,168,214.5,39.5,173,39,256,40,168,2.958665,3.0,86,86,0.511905,True
7,25836914057,252,104.5,44.0,63,43,146,45,170,2.923391,3.0,90,90,0.529412,True
8,25887245710,65,158.2,43.8,147,43,172,45,53,2.709076,3.0,31,31,0.584906,True
9,25836914057,168,214.5,43.5,173,43,256,44,168,2.958662,3.0,86,86,0.511905,True
10,25836914057,252,104.5,48.0,63,47,146,49,170,2.92343,3.0,90,90,0.529412,True
11,25887245710,78,159.5,48.0,147,47,172,49,54,2.662608,3.0,32,32,0.592593,True
12,25836914057,187,211.198,47.652,173,47,256,49,169,2.938702,3.0,87,87,0.514793,True
13,25836914057,252,104.5,52.0,63,51,146,53,170,2.923468,3.0,90,90,0.529412,True
14,25887245710,65,158.2,51.8,147,51,172,53,53,2.709063,3.0,31,31,0.584906,True
15,25836914057,168,214.5,51.5,173,51,256,52,168,2.958657,3.0,86,86,0.511905,True
16,25836914057,252,104.5,56.0,63,55,146,57,170,2.923504,3.0,90,90,0.529412,True
17,25887245710,78,159.5,56.0,147,55,172,57,54,2.662589,3.0,32,32,0.592593,True
18,25836914057,187,211.198,55.652,173,55,256,57,169,2.938695,3.0,87,87,0.514793,True
19,25836914057,126,83.5,60.0,63,59,104,61,86,2.909797,3.0,48,48,0.55814,True
20,25937577361,15,107.0,60.0,105,59,109,61,12,2.169257,3.0,11,11,0.916667,True
21,25836914057,92,126.141,59.793,110,59,146,61,75,2.843794,3.0,42,42,0.56,True
22,25887245710,52,159.5,59.5,147,59,172,60,52,2.760061,3.0,30,30,0.576923,True
23,25836914057,168,214.5,59.5,173,59,256,60,168,2.958654,3.0,86,86,0.511905,True
24,25836914057,252,104.5,64.0,63,63,146,65,170,2.923567,3.0,90,90,0.529412,True
